library_id	external_id	library_type	number_of_lanes_aggregated	sequenced_reads	preparation_id
MSM6J2PM_M2025C19_MBX	MSM6J2PM	metabolomics			MSM6J2PM_M2025C19_MBX
MSM5LLFK_M2026C2_MBX	MSM5LLFK	metabolomics			MSM5LLFK_M2026C2_MBX
MSM5LLFO_M2026C4_MBX	MSM5LLFO	metabolomics			MSM5LLFO_M2026C4_MBX
MSM6J2HF_M2026C10_MBX	MSM6J2HF	metabolomics			MSM6J2HF_M2026C10_MBX
MSM6J2OH_M2026C14_MBX	MSM6J2OH	metabolomics			MSM6J2OH_M2026C14_MBX
MSM6J2OP_M2026C21_MBX	MSM6J2OP	metabolomics			MSM6J2OP_M2026C21_MBX
MSM5LLIS_M2027C1_MBX	MSM5LLIS	metabolomics			MSM5LLIS_M2027C1_MBX
MSM5LLH8_M2027C5_MBX	MSM5LLH8	metabolomics			MSM5LLH8_M2027C5_MBX
MSM6J2KE_M2027C9_MBX	MSM6J2KE	metabolomics			MSM6J2KE_M2027C9_MBX
MSM6J2R2_M2027C14_MBX	MSM6J2R2	metabolomics			MSM6J2R2_M2027C14_MBX
MSM6J2R8_M2027C17_MBX	MSM6J2R8	metabolomics			MSM6J2R8_M2027C17_MBX
MSM5LLFG_M2028C1_MBX	MSM5LLFG	metabolomics			MSM5LLFG_M2028C1_MBX
MSM5LLGR_M2028C4_MBX	MSM5LLGR	metabolomics			MSM5LLGR_M2028C4_MBX
MSM6J2IG_M2028C9_MBX	MSM6J2IG	metabolomics			MSM6J2IG_M2028C9_MBX
MSM6J2Q3_M2028C14_MBX	MSM6J2Q3	metabolomics			MSM6J2Q3_M2028C14_MBX
MSM79H63_M2028C20_MBX	MSM79H63	metabolomics			MSM79H63_M2028C20_MBX
MSM5LLEH_M2034C1_MBX	MSM5LLEH	metabolomics			MSM5LLEH_M2034C1_MBX
MSM5LLF4_M2034C5_MBX	MSM5LLF4	metabolomics			MSM5LLF4_M2034C5_MBX
MSM6J2LL_M2034C10_MBX	MSM6J2LL	metabolomics			MSM6J2LL_M2034C10_MBX
MSM6J2MB_M2034C14_MBX	MSM6J2MB	metabolomics			MSM6J2MB_M2034C14_MBX
MSM6J2MH_M2034C17_MBX	MSM6J2MH	metabolomics			MSM6J2MH_M2034C17_MBX
MSM6J2H9_M2039C1_MBX	MSM6J2H9	metabolomics			MSM6J2H9_M2039C1_MBX
MSM6J2HT_M2039C5_MBX	MSM6J2HT	metabolomics			MSM6J2HT_M2039C5_MBX
MSM6J2QP_M2039C10_MBX	MSM6J2QP	metabolomics			MSM6J2QP_M2039C10_MBX
MSM79H5Q_M2039C16_MBX	MSM79H5Q	metabolomics			MSM79H5Q_M2039C16_MBX
MSM79HAH_M2039C24_MBX	MSM79HAH	metabolomics			MSM79HAH_M2039C24_MBX
MSM6J2JF_M2041C1_MBX	MSM6J2JF	metabolomics			MSM6J2JF_M2041C1_MBX
MSM6J2JR_M2041C4_MBX	MSM6J2JR	metabolomics			MSM6J2JR_M2041C4_MBX
MSM6J2SE_M2041C9_MBX	MSM6J2SE	metabolomics			MSM6J2SE_M2041C9_MBX
MSM79HEY_M2041C19_MBX	MSM79HEY	metabolomics			MSM79HEY_M2041C19_MBX
MSM79HB6_M2041C24_MBX	MSM79HB6	metabolomics			MSM79HB6_M2041C24_MBX
MSM6J2JH_M2042C1_MBX	MSM6J2JH	metabolomics			MSM6J2JH_M2042C1_MBX
MSM6J2K6_M2042C5_MBX	MSM6J2K6	metabolomics			MSM6J2K6_M2042C5_MBX
MSM6J2RO_M2042C10_MBX	MSM6J2RO	metabolomics			MSM6J2RO_M2042C10_MBX
MSM79H6F_M2042C15_MBX	MSM79H6F	metabolomics			MSM79H6F_M2042C15_MBX
